,isHomeTeam,X,Y,S,A,Orientation,Dir,Season,Quarter,Down,Distance,HomeScoreBeforePlay,VisitorScoreBeforePlay,IsPossTeamInLead,DefendersInTheBox,isPlayDirectionLeft,TimeSnapDiff,YardsToTouchdown,PlayerHeightInches,Age,Week,StadiumTypeCode,TurfCode,isFirstDown,Centers,Cornerbacks,DefensiveEnds,DefensiveTackles,LineBackers,NoseTackles,OffensiveGuards,Safeties,TightEnds
0,1,78.75,30.53,3.63,3.35,161.98,245.74,2017,1,3,2,0,0,0,6,1,1.0,65,70,25,1,1,2,1,1,3,3,1,1,0,2,3,1
1,1,71.07,27.16,3.06,2.41,210.7,312.2,2017,1,1,10,0,0,0,6,1,1.0,57,70,25,1,1,2,0,1,3,3,1,1,0,2,3,1
2,1,48.66,19.11,5.77,2.42,140.82,221.96,2017,1,1,10,0,0,0,7,1,2.0,35,70,25,1,1,2,0,1,3,3,1,1,0,2,3,1
3,1,15.53,25.36,4.45,3.2,186.22,275.44,2017,1,2,2,0,0,0,9,1,2.0,2,71,26,1,1,2,1,1,1,2,2,3,1,2,2,2
4,0,29.99,27.12,3.9,2.53,34.27,157.92,2017,1,1,10,7,0,1,7,0,1.0,75,71,22,1,1,2,0,1,2,1,2,2,0,1,4,3
5,1,42.88,22.73,3.32,2.76,189.77,319.67,2017,1,3,7,7,0,0,5,1,1.0,29,70,25,1,1,2,1,1,3,2,1,1,1,2,3,1
6,1,35.28,24.98,4.8,2.02,149.73,203.83,2017,1,2,10,7,0,0,8,1,1.0,19,70,27,1,1,2,0,1,2,3,1,2,1,2,2,2
7,1,22.74,25.43,3.65,1.18,205.6,282.12,2017,1,4,1,7,0,0,9,1,1.0,10,71,26,1,1,2,0,1,2,3,1,2,1,2,2,2
8,0,14.57,22.25,4.77,3.1,16.13,129.93,2017,1,1,10,7,0,1,7,0,1.0,90,71,22,1,1,2,0,1,2,1,2,2,0,1,4,1
9,0,53.64,27.84,3.64,2.63,21.53,141.28,2017,1,1,10,7,0,1,7,0,1.0,50,71,22,1,1,2,0,1,2,1,2,2,0,1,4,2
10,0,96.73,23.79,4.34,2.11,3.53,89.94,2017,1,2,9,7,0,1,7,0,1.0,9,71,22,1,1,2,0,1,3,1,2,2,0,1,3,1
11,1,88.63,29.13,2.82,2.79,177.73,286.41,2017,1,1,10,7,7,0,6,1,0.0,75,71,26,1,1,2,0,1,3,2,1,1,1,2,3,1
12,1,29.07,19.68,5.47,4.15,148.12,193.99,2017,1,2,5,7,7,0,6,1,1.0,12,70,25,1,1,2,0,1,3,3,1,1,1,2,2,1
13,1,21.94,22.71,2.39,1.68,180.2,292.46,2017,1,3,1,7,7,0,7,1,1.0,8,70,25,1,1,2,0,1,3,3,1,1,1,2,2,1
14,1,27.02,19.57,6.28,2.93,55.04,155.43,2017,2,2,6,10,7,0,7,0,1.0,78,71,26,1,1,2,0,1,2,3,1,2,1,2,2,2
15,1,69.04,27.93,5.24,2.11,312.76,25.2,2017,2,1,10,10,7,0,7,0,1.0,36,71,26,1,1,2,1,1,2,3,2,2,0,2,2,2
16,1,83.04,34.24,5.34,2.61,329.15,20.06,2017,2,1,10,10,7,0,7,0,1.0,20,71,26,1,1,2,0,1,2,3,2,2,0,2,2,2
17,1,94.78,31.28,4.25,2.51,353.66,70.5,2017,2,2,1,10,7,0,8,0,1.0,11,71,26,1,1,2,1,1,2,2,3,2,0,2,2,2
18,1,97.34,24.95,5.03,1.01,66.22,153.78,2017,2,1,7,10,7,0,9,0,2.0,7,71,26,1,1,2,0,1,2,2,2,2,1,2,2,2
19,1,103.24,27.03,5.04,1.66,322.47,53.09,2017,2,1,2,10,7,0,11,0,2.0,2,71,26,1,1,2,1,1,1,2,2,3,1,2,2,2
