,PlayId,isHomeTeam,X,Y,S,A,Orientation,Dir,Season,Quarter,PossessionTeamAbbrCode,Down,Distance,HomeScoreBeforePlay,VisitorScoreBeforePlay,IsPossTeamInLead,DefendersInTheBox,isPlayDirectionLeft,TimeSnapDiff,YardsToTouchdown,PlayerHeightInches,PlayerWeight,Age,PlayerCollegeNameCode,HomeTeamAbbrCode,VisitorTeamAbbrCode,Week,StadiumTypeCode,TurfCode,isFirstDown,Centers,Cornerbacks,DefensiveEnds,DefensiveTackles,LineBackers,NoseTackles,OffensiveGuards,Safeties,TightEnds,DistanceBins
0,20170907000118,1,78.75,30.53,3.63,3.35,161.98,245.74,2017,1,21,3,2,0,0,0,6,1,1.0,65,70,205,25,18,21,16,1,1,2,1,1,3,3,1,1,0,2,3,1,1
1,20170907000139,1,71.07,27.16,3.06,2.41,210.7,312.2,2017,1,21,1,10,0,0,0,6,1,1.0,57,70,205,25,18,21,16,1,1,2,0,1,3,3,1,1,0,2,3,1,2
2,20170907000189,1,48.66,19.11,5.77,2.42,140.82,221.96,2017,1,21,1,10,0,0,0,7,1,2.0,35,70,205,25,18,21,16,1,1,2,0,1,3,3,1,1,0,2,3,1,2
3,20170907000345,1,15.53,25.36,4.45,3.2,186.22,275.44,2017,1,21,2,2,0,0,0,9,1,2.0,2,71,210,26,26,21,16,1,1,2,1,1,1,2,2,3,1,2,2,2,1
4,20170907000395,0,29.99,27.12,3.9,2.53,34.27,157.92,2017,1,16,1,10,7,0,1,7,0,1.0,75,71,216,22,35,21,16,1,1,2,0,1,2,1,2,2,0,1,4,3,2
5,20170907000473,1,42.88,22.73,3.32,2.76,189.77,319.67,2017,1,21,3,7,7,0,0,5,1,1.0,29,70,205,25,18,21,16,1,1,2,1,1,3,2,1,1,1,2,3,1,2
6,20170907000516,1,35.28,24.98,4.8,2.02,149.73,203.83,2017,1,21,2,10,7,0,0,8,1,1.0,19,70,215,27,42,21,16,1,1,2,0,1,2,3,1,2,1,2,2,2,2
7,20170907000653,1,22.74,25.43,3.65,1.18,205.6,282.12,2017,1,21,4,1,7,0,0,9,1,1.0,10,71,210,26,26,21,16,1,1,2,0,1,2,3,1,2,1,2,2,2,1
8,20170907000680,0,14.57,22.25,4.77,3.1,16.13,129.93,2017,1,16,1,10,7,0,1,7,0,1.0,90,71,216,22,35,21,16,1,1,2,0,1,2,1,2,2,0,1,4,1,2
9,20170907000801,0,53.64,27.84,3.64,2.63,21.53,141.28,2017,1,16,1,10,7,0,1,7,0,1.0,50,71,216,22,35,21,16,1,1,2,0,1,2,1,2,2,0,1,4,2,2
