,LineBackers,A,isHomeTeam,Distance,PlayerHeightInches,TimeSnapDiff,S,TightEnds,YardsToTouchdown,Season,TurfCode,Safeties,StadiumTypeCode,Age,IsPossTeamInLead,NoseTackles,isPlayDirectionLeft,Centers,Cornerbacks,DefensiveEnds,OffensiveGuards,HomeScoreBeforePlay,Y,Down,DefensiveTackles,isFirstDown,Quarter,DefendersInTheBox
1,1,2.41,1,10,70,1.0,3.06,1,57,2017,2,3,1,25,0,0,1,1,3,3,2,0,27.16,1,1,0,1,6
2,1,2.42,1,10,70,2.0,5.77,1,35,2017,2,3,1,25,0,0,1,1,3,3,2,0,19.11,1,1,0,1,7
4,2,2.53,0,10,71,1.0,3.9,3,75,2017,2,4,1,22,1,0,0,1,2,1,1,7,27.12,1,2,0,1,7
6,2,2.02,1,10,70,1.0,4.8,2,19,2017,2,2,1,27,0,1,1,1,2,3,2,7,24.98,2,1,0,1,8
7,2,1.18,1,1,71,1.0,3.65,2,10,2017,2,2,1,26,0,1,1,1,2,3,2,7,25.43,4,1,0,1,9
8,2,3.1,0,10,71,1.0,4.77,1,90,2017,2,4,1,22,1,0,0,1,2,1,1,7,22.25,1,2,0,1,7
9,2,2.63,0,10,71,1.0,3.64,2,50,2017,2,4,1,22,1,0,0,1,2,1,1,7,27.84,1,2,0,1,7
10,2,2.11,0,9,71,1.0,4.34,1,9,2017,2,3,1,22,1,0,0,1,3,1,1,7,23.79,2,2,0,1,7
11,1,2.79,1,10,71,0.0,2.82,1,75,2017,2,3,1,26,0,1,1,1,3,2,2,7,29.13,1,1,0,1,6
12,1,4.15,1,5,70,1.0,5.47,1,12,2017,2,2,1,25,0,1,1,1,3,3,2,7,19.68,2,1,0,1,6
13,1,1.68,1,1,70,1.0,2.39,1,8,2017,2,2,1,25,0,1,1,1,3,3,2,7,22.71,3,1,0,1,7
14,2,2.93,1,6,71,1.0,6.28,2,78,2017,2,2,1,26,0,1,0,1,2,3,2,10,19.57,2,1,0,2,7
16,2,2.61,1,10,71,1.0,5.34,2,20,2017,2,2,1,26,0,0,0,1,2,3,2,10,34.24,1,2,0,2,7
18,2,1.01,1,7,71,2.0,5.03,2,7,2017,2,2,1,26,0,1,0,1,2,2,2,10,24.95,1,2,0,2,9
20,3,3.01,0,10,71,2.0,4.64,1,77,2017,2,2,1,22,1,0,1,1,2,1,1,17,30.7,1,3,0,2,7
21,1,2.27,1,10,68,1.0,2.99,1,60,2017,2,3,1,26,0,1,0,1,3,3,2,17,30.63,1,0,0,2,6
22,2,3.2,0,14,71,1.0,5.2,1,96,2017,2,3,1,22,1,0,1,1,3,1,1,17,25.1,1,2,0,2,6
24,1,1.67,1,10,71,1.0,5.18,1,72,2017,2,3,1,26,0,0,0,1,3,3,2,17,34.07,1,1,0,3,7
25,2,2.72,1,8,71,2.0,3.96,2,70,2017,2,2,1,26,0,1,0,1,2,3,2,17,28.59,2,1,0,3,7
26,2,2.55,1,10,71,1.0,4.52,2,75,2017,2,2,1,26,1,1,0,1,2,3,2,17,31.96,2,1,0,3,7
27,1,2.58,1,10,68,1.0,3.0,1,54,2017,2,3,1,26,1,0,0,1,3,3,2,17,28.6,2,1,0,3,6
28,3,0.99,0,10,71,1.0,4.41,1,86,2017,2,2,1,22,0,0,1,1,2,1,1,17,27.25,1,3,0,3,8
29,3,0.9,1,1,71,1.0,4.17,2,1,2017,2,2,1,26,1,1,0,1,1,2,2,17,27.63,1,2,0,3,10
31,2,3.33,0,12,71,1.0,1.96,1,89,2017,2,3,1,22,1,0,1,1,3,1,1,24,30.67,2,2,0,3,7
32,1,2.46,1,10,70,2.0,5.29,1,18,2017,2,3,1,25,0,0,0,1,3,3,2,24,33.96,1,1,0,3,7
34,1,3.24,1,4,70,2.0,5.86,1,4,2017,2,2,1,25,0,0,0,1,3,3,2,24,34.85,2,2,0,3,8
35,2,2.61,0,15,71,1.0,3.92,2,95,2017,2,4,1,22,1,0,1,1,2,1,1,27,26.41,1,2,0,3,7
36,3,1.14,1,1,71,1.0,3.85,2,40,2017,2,2,1,26,1,1,1,1,1,2,2,27,31.15,4,2,0,4,10
37,1,1.54,1,10,70,2.0,3.88,2,87,2017,2,4,1,27,1,1,1,1,2,2,2,27,31.12,1,1,0,4,8
43,2,2.05,0,10,71,1.0,4.83,2,42,2017,2,2,1,22,0,0,0,1,2,2,1,27,26.4,1,3,0,4,9
44,2,2.24,0,8,71,1.0,4.96,2,40,2017,2,2,1,22,0,0,0,1,2,2,1,27,20.58,2,3,0,4,8
46,2,3.86,1,10,71,1.0,5.84,2,75,2017,2,3,1,29,0,1,1,1,2,3,2,0,27.13,2,0,0,1,6
47,2,3.03,1,6,71,1.0,3.28,1,28,2017,2,3,1,29,0,1,1,1,2,3,2,0,24.93,2,0,0,1,6
49,2,3.34,1,15,71,2.0,4.98,1,64,2017,2,3,1,29,0,1,1,1,2,3,2,0,32.78,1,0,0,1,6
50,3,2.05,1,10,71,2.0,4.74,1,77,2017,2,2,1,29,0,1,1,1,2,3,2,0,32.75,1,0,0,1,7
51,3,3.31,1,4,71,2.0,4.8,1,58,2017,2,2,1,29,0,0,1,1,2,3,2,0,31.85,2,1,0,1,7
53,4,2.65,1,8,71,1.0,3.92,3,8,2017,2,2,1,29,0,1,0,1,2,2,2,0,31.91,1,0,0,2,7
55,3,3.19,1,10,71,2.0,5.45,1,20,2017,2,2,1,29,0,1,0,1,2,3,2,7,26.39,1,0,0,2,7
56,2,3.01,0,10,70,1.0,2.55,1,64,2017,2,2,1,28,1,0,1,1,3,2,2,7,28.45,2,2,0,2,6
57,2,2.32,0,10,70,1.0,2.99,1,49,2017,2,2,1,28,1,0,1,1,3,2,2,7,27.58,1,2,0,2,6
58,2,2.56,0,10,70,1.0,2.98,1,41,2017,2,2,1,28,1,0,1,1,3,2,2,7,22.0,1,2,0,2,6
59,2,1.67,0,10,70,1.0,3.04,1,75,2017,2,2,1,28,1,0,0,1,3,2,2,7,22.23,1,2,0,3,6
60,2,2.7,0,10,74,1.0,1.45,1,62,2017,2,2,1,31,1,0,0,1,3,2,2,7,22.26,1,2,0,3,6
61,4,3.07,1,10,71,1.0,4.76,2,68,2017,2,2,1,29,0,1,1,1,2,2,2,7,20.75,1,0,0,3,7
62,2,2.78,0,10,74,1.0,1.37,0,79,2017,2,2,1,31,1,0,0,1,3,2,2,7,22.45,1,2,0,3,7
63,4,3.64,1,10,71,1.0,5.13,2,64,2017,2,2,1,29,0,1,1,1,2,2,2,7,26.69,1,0,0,3,7
64,3,3.57,1,10,71,2.0,5.25,1,17,2017,2,2,1,29,0,0,1,1,2,3,2,7,26.75,1,1,0,3,7
65,3,2.61,0,10,74,1.0,3.65,1,75,2017,2,2,1,31,1,0,0,1,2,2,2,14,31.62,1,2,0,3,7
66,2,3.0,0,10,70,1.0,3.49,1,31,2017,2,2,1,28,1,0,0,1,3,2,2,14,23.0,1,2,0,3,6
67,2,2.48,1,10,71,1.0,3.38,1,80,2017,2,3,1,29,0,1,1,1,2,3,2,14,30.51,2,0,0,3,6
69,4,3.57,1,4,71,1.0,5.01,2,4,2017,2,2,1,29,0,0,0,1,2,2,2,14,32.66,1,1,0,4,7
70,3,1.16,0,8,70,2.0,2.71,1,81,2017,2,2,1,28,1,0,1,1,2,2,2,21,25.04,2,2,0,4,7
72,2,3.09,0,6,74,1.0,3.27,1,65,2017,2,2,1,31,1,0,1,1,3,2,2,21,22.47,2,2,0,4,6
73,3,2.66,1,10,71,2.0,4.44,2,96,2017,2,2,1,29,0,0,0,1,2,3,2,21,27.54,1,1,0,4,7
74,3,2.23,1,8,71,1.0,3.45,1,94,2017,2,2,1,29,0,0,0,1,2,3,2,21,27.17,2,1,0,4,7
75,2,2.78,1,10,71,2.0,5.13,1,77,2017,2,3,1,29,0,1,0,1,2,3,2,21,27.02,1,0,0,4,6
76,2,4.24,1,5,71,1.0,5.36,1,72,2017,2,3,1,29,0,1,0,1,2,3,2,21,27.65,2,0,0,4,6
77,3,2.57,1,10,71,2.0,4.22,2,71,2017,2,2,1,29,0,0,0,1,2,3,2,21,25.95,1,1,0,4,7
78,4,1.8,1,17,71,1.0,5.04,3,78,2017,2,2,1,29,0,1,0,1,1,2,2,21,23.77,2,1,0,4,8
79,4,2.88,0,10,68,1.0,6.32,1,92,2017,1,2,1,25,0,1,0,1,3,0,2,0,24.07,1,1,0,1,5
80,4,3.84,0,10,73,1.0,6.04,2,49,2017,1,2,1,24,0,1,0,1,2,0,2,0,28.33,1,2,0,1,7
82,4,3.36,0,3,68,1.0,4.51,1,31,2017,1,2,1,25,0,0,0,1,2,1,2,0,18.43,2,2,0,1,6
83,4,0.87,0,1,73,1.0,3.66,3,29,2017,1,2,1,24,0,0,0,1,2,1,2,0,21.84,3,2,0,1,7
84,4,4.44,1,10,72,2.0,3.46,2,74,2017,1,2,1,22,1,1,1,0,2,1,3,0,33.52,1,1,0,1,8
85,4,2.97,0,10,68,1.0,5.75,1,70,2017,1,2,1,25,0,1,0,1,2,0,2,0,25.17,2,2,0,1,7
88,2,1.23,1,10,72,1.0,3.47,1,34,2017,1,2,1,22,1,1,1,0,3,2,3,0,29.6,1,1,0,1,6
89,4,2.8,0,10,73,2.0,4.93,2,75,2017,1,2,1,24,0,1,1,1,2,1,2,3,27.07,1,1,0,2,7
90,4,1.19,0,5,73,1.0,5.67,2,70,2017,1,2,1,24,0,1,1,1,2,1,2,3,30.63,2,1,0,2,7
91,4,1.83,0,10,68,1.0,6.2,1,65,2017,1,2,1,25,0,0,1,1,2,1,2,3,34.37,1,2,0,2,7
92,4,1.91,0,2,73,1.0,5.57,2,38,2017,1,2,1,24,0,1,1,1,2,1,2,3,29.01,2,1,0,2,7
94,4,1.75,0,20,73,1.0,4.64,1,25,2017,1,2,1,24,0,1,1,1,3,1,2,3,27.85,1,0,0,2,6
96,4,1.06,1,10,72,2.0,5.02,2,75,2017,1,2,1,22,1,1,0,0,2,2,3,3,16.81,1,0,0,2,8
98,3,4.71,1,10,72,1.0,3.65,2,26,2017,1,2,1,22,1,1,0,0,2,2,3,3,20.64,1,1,0,2,8
99,2,2.73,1,6,72,1.0,4.19,1,22,2017,1,2,1,22,1,1,0,0,3,2,3,3,24.5,2,1,0,2,7
100,4,5.65,1,10,66,2.0,3.21,3,15,2017,1,2,1,22,1,0,0,0,2,2,3,3,23.59,1,1,0,2,8
