,isHomeTeam,LineBackers,Safeties,Quarter,PlayerHeightInches,StadiumTypeCode,TurfCode,OffensiveGuards,DefensiveEnds,Y,S,DefensiveTackles,Age,IsPossTeamInLead,Down,TimeSnapDiff,YardsToTouchdown,A,TightEnds,DefendersInTheBox,Cornerbacks,isPlayDirectionLeft,Distance,NoseTackles,Season,HomeScoreBeforePlay,isFirstDown,Centers
0,1,1,3,1,70,1,2,2,3,30.53,3.63,1,25,0,3,1.0,65,3.35,1,6,3,1,2,0,2017,0,1,1
1,1,1,3,1,70,1,2,2,3,27.16,3.06,1,25,0,1,1.0,57,2.41,1,6,3,1,10,0,2017,0,0,1
2,1,1,3,1,70,1,2,2,3,19.11,5.77,1,25,0,1,2.0,35,2.42,1,7,3,1,10,0,2017,0,0,1
3,1,3,2,1,71,1,2,2,2,25.36,4.45,2,26,0,2,2.0,2,3.2,2,9,1,1,2,1,2017,0,1,1
4,0,2,4,1,71,1,2,1,1,27.12,3.9,2,22,1,1,1.0,75,2.53,3,7,2,0,10,0,2017,7,0,1
5,1,1,3,1,70,1,2,2,2,22.73,3.32,1,25,0,3,1.0,29,2.76,1,5,3,1,7,1,2017,7,1,1
6,1,2,2,1,70,1,2,2,3,24.98,4.8,1,27,0,2,1.0,19,2.02,2,8,2,1,10,1,2017,7,0,1
7,1,2,2,1,71,1,2,2,3,25.43,3.65,1,26,0,4,1.0,10,1.18,2,9,2,1,1,1,2017,7,0,1
8,0,2,4,1,71,1,2,1,1,22.25,4.77,2,22,1,1,1.0,90,3.1,1,7,2,0,10,0,2017,7,0,1
9,0,2,4,1,71,1,2,1,1,27.84,3.64,2,22,1,1,1.0,50,2.63,2,7,2,0,10,0,2017,7,0,1
10,0,2,3,1,71,1,2,1,1,23.79,4.34,2,22,1,2,1.0,9,2.11,1,7,3,0,9,0,2017,7,0,1
11,1,1,3,1,71,1,2,2,2,29.13,2.82,1,26,0,1,0.0,75,2.79,1,6,3,1,10,1,2017,7,0,1
12,1,1,2,1,70,1,2,2,3,19.68,5.47,1,25,0,2,1.0,12,4.15,1,6,3,1,5,1,2017,7,0,1
13,1,1,2,1,70,1,2,2,3,22.71,2.39,1,25,0,3,1.0,8,1.68,1,7,3,1,1,1,2017,7,0,1
14,1,2,2,2,71,1,2,2,3,19.57,6.28,1,26,0,2,1.0,78,2.93,2,7,2,0,6,1,2017,10,0,1
15,1,2,2,2,71,1,2,2,3,27.93,5.24,2,26,0,1,1.0,36,2.11,2,7,2,0,10,0,2017,10,1,1
16,1,2,2,2,71,1,2,2,3,34.24,5.34,2,26,0,1,1.0,20,2.61,2,7,2,0,10,0,2017,10,0,1
17,1,2,2,2,71,1,2,2,2,31.28,4.25,3,26,0,2,1.0,11,2.51,2,8,2,0,1,0,2017,10,1,1
18,1,2,2,2,71,1,2,2,2,24.95,5.03,2,26,0,1,2.0,7,1.01,2,9,2,0,7,1,2017,10,0,1
19,1,3,2,2,71,1,2,2,2,27.03,5.04,2,26,0,1,2.0,2,1.66,2,11,1,0,2,1,2017,10,1,1
20,0,3,2,2,71,1,2,1,1,30.7,4.64,3,22,1,1,2.0,77,3.01,1,7,2,1,10,0,2017,17,0,1
21,1,1,3,2,68,1,2,2,3,30.63,2.99,0,26,0,1,1.0,60,2.27,1,6,3,0,10,1,2017,17,0,1
22,0,2,3,2,71,1,2,1,1,25.1,5.2,2,22,1,1,1.0,96,3.2,1,6,3,1,14,0,2017,17,0,1
23,0,2,4,3,71,1,2,1,1,29.78,4.8,2,22,1,1,2.0,75,2.37,1,7,2,1,10,0,2017,17,1,1
24,1,1,3,3,71,1,2,2,3,34.07,5.18,1,26,0,1,1.0,72,1.67,1,7,3,0,10,0,2017,17,0,1
25,1,2,2,3,71,1,2,2,3,28.59,3.96,1,26,0,2,2.0,70,2.72,2,7,2,0,8,1,2017,17,0,1
26,1,2,2,3,71,1,2,2,3,31.96,4.52,1,26,1,2,1.0,75,2.55,2,7,2,0,10,1,2017,17,0,1
27,1,1,3,3,68,1,2,2,3,28.6,3.0,1,26,1,2,1.0,54,2.58,1,6,3,0,10,0,2017,17,0,1
