,LineBackers,A,isHomeTeam,Distance,PlayerHeightInches,TimeSnapDiff,S,TightEnds,YardsToTouchdown,Season,TurfCode,Safeties,StadiumTypeCode,Age,IsPossTeamInLead,NoseTackles,isPlayDirectionLeft,Centers,Cornerbacks,DefensiveEnds,OffensiveGuards,HomeScoreBeforePlay,Y,Down,DefensiveTackles,isFirstDown,Quarter,DefendersInTheBox
16302,3,2.3,0,10,68,1.0,4.29,1,80,2018,2,2,2,28,1,0,1,1,2,2,2,7,26.56,1,2,0,1,7
18291,2,3.85,0,10,71,1.0,4.01,0,89,2018,2,2,4,22,1,0,1,0,3,3,3,10,28.34,1,1,0,2,6
11306,3,1.79,1,2,70,1.0,3.77,1,55,2018,2,1,1,28,0,0,1,1,3,2,2,27,28.93,3,2,0,4,8
6957,2,2.76,0,7,70,1.0,3.54,1,67,2017,2,2,2,22,0,0,0,1,3,3,2,0,28.82,2,1,0,2,6
2123,4,3.7,0,9,73,2.0,3.81,1,14,2017,1,3,1,22,0,1,1,1,2,0,3,0,26.7,2,1,0,2,7
6990,4,2.6,0,10,71,1.0,3.41,1,80,2017,1,2,1,25,0,0,0,2,3,2,1,0,24.67,1,0,0,1,7
2855,5,1.75,1,17,72,1.0,3.63,1,87,2017,1,2,1,24,0,0,1,1,3,0,1,10,30.89,2,1,0,3,6
12767,3,2.73,1,10,73,1.0,5.6,1,23,2018,1,2,3,26,0,0,1,1,3,1,2,14,27.07,1,2,0,4,6
8236,3,3.95,1,10,68,1.0,4.9,1,75,2017,2,2,3,25,1,0,0,1,2,1,2,0,27.5,1,3,0,1,7
1928,2,2.21,1,10,71,2.0,4.41,1,24,2017,1,1,3,32,0,0,1,1,4,3,2,0,25.73,1,1,0,1,6
16617,4,2.25,0,10,71,2.0,3.98,1,71,2018,2,2,1,30,0,0,1,1,3,2,2,0,29.08,2,0,0,1,7
25514,4,3.36,0,10,75,2.0,4.87,2,24,2019,1,2,1,29,0,1,0,1,2,0,1,0,28.8,1,2,0,1,8
25916,4,3.22,0,10,70,1.0,4.29,2,75,2019,2,2,3,21,0,0,0,0,2,2,2,7,28.25,1,1,0,1,7
7505,4,2.74,0,10,70,1.0,3.7,1,90,2017,1,2,1,26,0,1,1,1,2,0,2,0,23.25,1,2,0,1,8
14961,2,2.26,1,10,70,1.0,5.64,1,21,2018,1,2,1,26,0,0,0,0,3,2,1,14,23.21,1,2,0,2,6
